Name,Link,Brand
At the Beach,https://www.fragrantica.com/perfume/Bath-Body-Works/At-the-Beach-45968.html,Bath & Body Works
Among The Clouds,https://www.fragrantica.com/perfume/Bath-Body-Works/Among-The-Clouds-78912.html,Bath & Body Works
Gingham,https://www.fragrantica.com/perfume/Bath-Body-Works/Gingham-56361.html,Bath & Body Works
Champagne Apple & Honey,https://www.fragrantica.com/perfume/Bath-Body-Works/Champagne-Apple-Honey-56367.html,Bath & Body Works
Saltwater Breeze,https://www.fragrantica.com/perfume/Bath-Body-Works/Saltwater-Breeze-77527.html,Bath & Body Works
Sweet Pea,https://www.fragrantica.com/perfume/Bath-Body-Works/Sweet-Pea-77529.html,Bath & Body Works
Cactus Blossom,https://www.fragrantica.com/perfume/Bath-Body-Works/Cactus-Blossom-56360.html,Bath & Body Works
A Thousand Wishes 2020 Edition,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Thousand-Wishes-2020-Edition-59592.html,Bath & Body Works
Sensual Amber,https://www.fragrantica.com/perfume/Bath-Body-Works/Sensual-Amber-77528.html,Bath & Body Works
Rose,https://www.fragrantica.com/perfume/Bath-Body-Works/Rose-56365.html,Bath & Body Works
Saltwater Breeze,https://www.fragrantica.com/perfume/Bath-Body-Works/Saltwater-Breeze-59588.html,Bath & Body Works
Whipped Coconut Milkshake,https://www.fragrantica.com/perfume/Bath-Body-Works/Whipped-Coconut-Milkshake-82587.html,Bath & Body Works
Chasing Fireflies,https://www.fragrantica.com/perfume/Bath-Body-Works/Chasing-Fireflies-84025.html,Bath & Body Works
Pomegranate & Lotus Balance,https://www.fragrantica.com/perfume/Victoria-s-Secret/Pomegranate-Lotus-Balance-70971.html,Victoria's Secret
Vampire Blood,https://www.fragrantica.com/perfume/Bath-Body-Works/Vampire-Blood-84028.html,Bath & Body Works
Sea Island Shore,https://www.fragrantica.com/perfume/Bath-Body-Works/Sea-Island-Shore-77812.html,Bath & Body Works
Juniper Breeze,https://www.fragrantica.com/perfume/Bath-Body-Works/Juniper-Breeze-46036.html,Bath & Body Works
Perfect Peony,https://www.fragrantica.com/perfume/Bath-Body-Works/Perfect-Peony-60268.html,Bath & Body Works
Compassion,https://www.fragrantica.com/perfume/Victoria-s-Secret/Compassion-74509.html,Victoria's Secret
Champagne Sprinkles,https://www.fragrantica.com/perfume/Bath-Body-Works/Champagne-Sprinkles-77336.html,Bath & Body Works
Among The Clouds,https://www.fragrantica.com/perfume/Bath-Body-Works/Among-The-Clouds-79861.html,Bath & Body Works
Fruity Sherbet Scoop,https://www.fragrantica.com/perfume/Bath-Body-Works/Fruity-Sherbet-Scoop-82588.html,Bath & Body Works
Clean Slate,https://www.fragrantica.com/perfume/Bath-Body-Works/Clean-Slate-64945.html,Bath & Body Works
A Thousand Christmas Wishes,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Thousand-Christmas-Wishes-78192.html,Bath & Body Works
Cucumber Melon,https://www.fragrantica.com/perfume/Bath-Body-Works/Cucumber-Melon-3518.html,Bath & Body Works
Love Always Wins,https://www.fragrantica.com/perfume/Bath-Body-Works/Love-Always-Wins-82375.html,Bath & Body Works
Fresh Getaway,https://www.fragrantica.com/perfume/Bath-Body-Works/Fresh-Getaway-77749.html,Bath & Body Works
Everlasting Magic,https://www.fragrantica.com/perfume/Bath-Body-Works/Everlasting-Magic-84026.html,Bath & Body Works
Calm,https://www.fragrantica.com/perfume/Victoria-s-Secret/Calm-74513.html,Victoria's Secret
Open Sky EdP,https://www.fragrantica.com/perfume/Bath-Body-Works/Open-Sky-EdP-71428.html,Bath & Body Works
Midnight Spell,https://www.fragrantica.com/perfume/Bath-Body-Works/Midnight-Spell-84027.html,Bath & Body Works
Leaves,https://www.fragrantica.com/perfume/Bath-Body-Works/Leaves-84024.html,Bath & Body Works
Poolside Cabana,https://www.fragrantica.com/perfume/Bath-Body-Works/Poolside-Cabana-82378.html,Bath & Body Works
White Tea and Ginger,https://www.fragrantica.com/perfume/Bath-Body-Works/White-Tea-and-Ginger-82986.html,Bath & Body Works
Sparkling Orange Spritz,https://www.fragrantica.com/perfume/Bath-Body-Works/Sparkling-Orange-Spritz-82377.html,Bath & Body Works
Midnight Swim,https://www.fragrantica.com/perfume/Bath-Body-Works/Midnight-Swim-83509.html,Bath & Body Works
Balance,https://www.fragrantica.com/perfume/Victoria-s-Secret/Balance-74512.html,Victoria's Secret
Christmas Cocoa & Mint,https://www.fragrantica.com/perfume/Bath-Body-Works/Christmas-Cocoa-Mint-65740.html,Bath & Body Works
Confidence,https://www.fragrantica.com/perfume/Victoria-s-Secret/Confidence-74510.html,Victoria's Secret
Golden Sunflower,https://www.fragrantica.com/perfume/Bath-Body-Works/Golden-Sunflower-62573.html,Bath & Body Works
Optimism,https://www.fragrantica.com/perfume/Victoria-s-Secret/Optimism-74511.html,Victoria's Secret
Private Sundeck,https://www.fragrantica.com/perfume/Victoria-s-Secret/Private-Sundeck-81957.html,Victoria's Secret
